fighter_name,Height_ft_in,Weight_lbs,Reach_lbs,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,Opp_Str,TD_Avg,TD_Acc,TD_Def,Opp_TD,Sub_Avg
Liana Jojua,"5' 4""",125,62,Orthodox,22-Mar-95,2.53,0.39,4.86,0.48,0.52,1.49,0.66,0.50,0.50,2.2
Nassourdine Imavov,"6' 3""",185,75,Orthodox,1-Mar-95,4.17,0.61,2.03,0.59,0.41,0.5,0.12,0.60,0.40,2
Aspen Ladd,"5' 6""",135,66,Orthodox,1-Mar-95,5.22,0.55,4.84,0.46,0.54,2.45,0.75,0.66,0.34,1.2
Ludovit Klein,"5' 7""",155,72,Southpaw,22-Feb-95,7.11,0.69,3.16,0.42,0.58,0,0.00,0.00,1.00,0
Michal Oleksiejczuk,"6' 0""",205,74,Southpaw,22-Feb-95,4.83,0.56,2.91,0.69,0.31,1.05,0.66,0.35,0.65,0
Montana De La Rosa,"5' 7""",125,68,Orthodox,14-Feb-95,2.85,0.36,3.39,0.45,0.55,2.14,0.28,0.57,0.43,1.2
Jack Shore,"5' 8""",135,71,Orthodox,6-Feb-95,3.69,0.54,0.59,0.76,0.24,5.16,0.46,0.00,1.00,1.5
Luis Gomez,"5' 7""",145,68,Orthodox,28-Jan-95,1.57,0.33,4.03,0.55,0.45,4.48,0.50,0.33,0.67,0
Zelim Imadaev,"6' 0""",170,76,Orthodox,25-Jan-95,2.91,0.36,4.35,0.43,0.57,0.38,0.50,0.60,0.40,0
Christian Lohsen,"6' 2""",155,77,Southpaw,24-Jan-95,5.27,0.49,6.93,0.44,0.56,0,0.00,0.00,1.00,2
Serghei Spivac,"6' 3""",260,78,Orthodox,24-Jan-95,3.58,0.49,2.84,0.58,0.42,3.7,0.63,0.75,0.25,0.3
Carlos Felipe,"6' 0""",245,75,Orthodox,12-Jan-95,4.42,0.45,4.6,0.47,0.53,0,0.00,0.70,0.30,0
Kai Kamaka,"5' 7""",145,69,Orthodox,5-Jan-95,6.58,0.60,6.74,0.49,0.51,3.68,0.75,0.37,0.63,0.6
Karol Rosa,"5' 5""",135,67,Orthodox,30-Dec-94,7.73,0.52,5.51,0.48,0.52,2,0.60,0.90,0.10,0
Kailan Hill,"6' 1""",185,77,Southpaw,1-Dec-94,2.6,0.53,4.8,0.37,0.63,3,0.42,0.00,1.00,0
Fabio Cherant,"6' 1""",205,,Southpaw,25-Nov-94,1.21,0.31,7.59,0.33,0.67,0,0.00,0.00,1.00,0
Sean O'Malley,"5' 11""",135,72,Switch,24-Oct-94,6.35,0.57,3.76,0.64,0.36,1.05,0.50,0.61,0.39,1.1
Shavkat Rakhmonov,"6' 1""",170,77,Orthodox,23-Oct-94,2.79,0.52,1.93,0.50,0.50,0,0.00,1.00,0.00,3.2
Tafon Nchukwi,"6' 0""",205,77,Orthodox,14-Oct-94,7.59,0.55,4.31,0.52,0.48,0,0.00,0.75,0.25,0
Ken Cross,"6' 0""",155,72,Southpaw,4-Oct-94,2.2,0.57,1.4,0.55,0.45,1,0.12,0.66,0.34,0
Bryce Mitchell,"5' 10""",145,70,Southpaw,4-Oct-94,2.29,0.61,1.46,0.60,0.40,3.26,0.46,0.33,0.67,2.3
Collin Huckbody,"6' 3""",185,76,Orthodox,29-Sep-94,2.05,0.60,2.73,0.42,0.58,10.23,1.00,0.00,1.00,20.4
Max Rohskopf,"6' 1""",155,71,Orthodox,27-Sep-94,1.7,0.31,5.8,0.42,0.58,3,0.33,0.00,1.00,1.5
Kyle Driscoll,"5' 11""",145,74,Orthodox,23-Sep-94,2.73,0.32,2.6,0.58,0.42,2,0.18,0.00,1.00,0
Terrance McKinney,"5' 11""",145,74,Switch,15-Sep-94,1.17,0.50,0.59,0.66,0.34,4.4,0.33,0.00,1.00,0
Larissa Pacheco,"5' 7""",135,,Orthodox,7-Sep-94,1.21,0.19,4.14,0.55,0.45,0,0.00,0.00,1.00,0
Humberto Bandenay,"5' 11""",145,71,Southpaw,4-Sep-94,2.22,0.41,4.79,0.41,0.59,2.9,0.46,0.62,0.38,0.5
Nicolae Negumereanu,"6' 0""",205,78,Orthodox,4-Sep-94,0.73,0.40,4.67,0.18,0.82,0,0.00,0.40,0.60,0
Mark De La Rosa,"5' 6""",135,65,Orthodox,31-Aug-94,3.13,0.35,5,0.48,0.52,0.54,0.13,0.40,0.60,0.2
Gabriel Silva,"5' 6""",135,71,Orthodox,26-Aug-94,1.3,0.34,3.47,0.45,0.55,1.5,0.25,0.38,0.62,0.5
Joseph Morales,"5' 6""",125,69,Switch,22-Aug-94,1.58,0.37,1.72,0.60,0.40,0.53,0.50,0.23,0.77,2.6
Askar Askar,"5' 7""",145,69,Orthodox,19-Aug-94,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Inoue Mizuki,"5' 3""",125,65,Orthodox,19-Aug-94,5,0.50,6.87,0.48,0.52,0,0.00,0.66,0.34,0
Jake Matthews,"5' 11""",170,73,Orthodox,19-Aug-94,3.03,0.44,2.16,0.61,0.39,1.93,0.41,0.66,0.34,0.6
Jamie Mullarkey,"6' 0""",155,74,Orthodox,17-Aug-94,1.87,0.33,4.6,0.42,0.58,4,0.30,0.66,0.34,0.5
Muhammad Naimov,"5' 9""",145,70,Orthodox,7-Aug-94,3.47,0.41,5.87,0.44,0.56,0,0.00,0.25,0.75,0
Rafa Garcia,"5' 7""",155,70,Orthodox,5-Aug-94,3.47,0.23,6.6,0.54,0.46,0,0.00,1.00,0.00,0
Tiffany Masters,"5' 3""",115,65,Orthodox,31-Jul-94,3.53,0.62,2.58,0.50,0.50,3.06,0.60,0.00,1.00,0
Danilo Belluardo,"6' 0""",155,74,Southpaw,21-Jul-94,1.52,0.61,4.79,0.41,0.59,3.5,1.00,0.50,0.50,0
