ID,Course,Age,Dept,Treatment,Score,,
727849070,42219,21,BIOL,Control,88,,
563516381,34706,19,ENGL,Control,76,,
782239027,34625,20,APHY,Control,42,,
532220590,35172,19,ENGL,Instructor Incentives,96,,
927891170,35251,22,NRSG,Instructor Incentives,87,,
649552808,34609,42,APHY,Control,75,,
342267996,34993,25,MATH,Control,73,,
416262276,20245,22,PSYC,Instructor Incentives,42,,
381766022,44018,22,COMM,Control,62,,
160609179,34615,19,APHY,Instructor Incentives,45,,
335444294,35489,18,APHY,Instructor Incentives,0,,
415145951,42029,18,COMM,Control,52,,
987826951,34890,25,MATH,Instructor Incentives,83,,
770002961,44206,28,APHY,Control,0,,
496588407,35106,20,HLHS,Instructor Incentives,88,,
